gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
BMS1,0.019628568,4.75026E-06,0.000008517,7.25393E-11
BMX,0.003943621,3.73741E-07,0,0
BNC1,0.009557104,2.44579E-06,0,0
BNC2,0.014608528,4.78138E-06,0,0
BNIP1,0.004666779,1.5E-06,0,0
BNIP2,0.007065348,1.5895E-06,0,0
BNIP3,0.002516763,6.35571E-07,0,0
BNIP3L,0.001973968,3.92905E-07,0,0
BNIPL,0.005558398,1.41752E-06,0,0
BOC,0.02159241,6.19029E-06,0,0
BOD1,0.006779564,3.07276E-06,0,0
BOD1L1,0.044376796,1.39252E-05,0,0
BOLA1,0.002279561,4.59504E-07,0,0
BOLA3,0.001705367,6.36456E-07,0.000049425,1.22142E-09
BOLL,0.003859772,9.99129E-07,0,0
BORA,0.006116824,9.70948E-07,0,0
BPGM,0.002921142,5.5162E-07,0.000008249,6.8046E-11
BPHL,0.004838478,8.84411E-07,0,0
BPI,0.013537866,4.15166E-06,0,0
BPIFA1,0.003893115,1.23305E-06,0,0
BPIFA2,0.003420786,5.245E-07,0,0
BPIFA3,0.004095075,7.66818E-07,0,0
BPIFB1,0.00772547,2.01132E-06,0,0
BPIFB2,0.009040408,2.56389E-06,0,0
BPIFB3,0.008691928,2.25789E-06,0,0
BPIFB4,0.012339283,3.73328E-06,0,0
BPIFB6,0.008084075,2.30369E-06,0,0
BPIFC,0.009503719,2.74393E-06,0,0
BPNT1,0.002587064,3.7495E-07,0,0
BPTF,0.027092429,6.94456E-06,0,0
BRAF,0.00252241,2.05791E-07,0.000708564,3.36503E-07
BRAP,0.005585302,1.75187E-06,0,0
BRAT1,0.025206592,7.86207E-06,0.000336564,8.64242E-08
BRCA1,0.014198111,2.21818E-06,0.009699211,3.3071E-06
BRCA2,0.040020998,1.28333E-05,0.013700872,5.42574E-06
BRCC3,0.001938215,3.22348E-07,0,0
BRD1,0.012295622,2.72645E-06,0,0
BRD2,0.013786982,4.14124E-06,0,0
BRD3,0.009005786,3.03204E-06,0,0
BRD4,0.019696851,5.81286E-06,0,0
BRD7,0.008124069,2.23202E-06,0,0
BRD8,0.013558526,3.10847E-06,0,0
BRD9,0.009661656,2.31495E-06,0,0
BRDT,0.012165903,2.81904E-06,0,0
BRE,0.003397302,3.50535E-07,0,0
BRF1,0.01295894,3.43124E-06,0.000024912,3.42802E-10
BRF2,0.009274372,3.10555E-06,0,0
BRI3,0.002306954,4.52025E-07,0,0
BRI3BP,0.00563695,2.32449E-06,0,0
BRICD5,0.010474924,1.42941E-06,0,0
BRINP1,0.009836023,2.34898E-06,0,0
BRINP2,0.013579467,4.36539E-06,0,0
BRINP3,0.007245523,1.21216E-06,0,0
BRIP1,0.010880031,1.75299E-06,0.001306047,5.86769E-07
BRIX1,0.00536026,1.35997E-06,0,0
BRK1,0.000691583,6.04494E-08,0,0
BRMS1,0.004150746,5.62606E-07,0,0
BRMS1L,0.002987894,1.02041E-06,0,0
BROX,0.003741339,5.75215E-07,0,0
BRPF1,0.009830583,1.45754E-06,0,0
BRPF3,0.011060004,1.88648E-06,0,0
BRS3,0.003495489,6.901E-07,0,0
BRSK1,0.005537612,7.96294E-07,0,0
BRSK2,0.011019763,2.76161E-06,0,0
BRWD1,0.020688413,4.68176E-06,0,0
BRWD3,0.00534126,5.19342E-07,0,0
BSCL2,0.00729484,1.07321E-06,0.000520463,1.86485E-07
BSDC1,0.006763255,1.97248E-06,0,0
BSG,0.009246471,2.65411E-06,0.000083936,7.04525E-09
BSN,0.053773113,1.39562E-05,0,0
BSND,0.005625157,1.00433E-06,0.000767735,1.61922E-07
BSPRY,0.008674284,2.51967E-06,0,0
BST1,0.006211269,1.65664E-06,0,0
BST2,0.002859544,9.09129E-07,0,0
BSX,0.003512674,1.28384E-06,0,0
BTAF1,0.010299767,2.17136E-06,0,0
BTBD1,0.006938169,2.41093E-06,0,0
BTBD10,0.002092338,1.01918E-07,0,0
BTBD11,0.014935772,4.37774E-06,0,0
BTBD16,0.009154034,2.46415E-06,0,0
BTBD17,0.005822398,1.25493E-06,0,0
BTBD2,0.005393721,1.03441E-06,0,0
BTBD3,0.003979529,1.00352E-06,0,0
BTBD7,0.017840464,6.5784E-06,0,0
BTBD8,0.004194235,1.39606E-06,0,0
BTBD9,0.004482768,4.19658E-07,0,0
BTC,0.004394034,1.33354E-06,0,0
BTD,0.006526722,7.41166E-07,0.002812481,6.01623E-07
BTF3,0.002269973,5.51511E-07,0,0
BTF3L4,0.002871809,1.33322E-06,0,0
BTG1,0.000504629,7.2963E-09,0,0
BTG2,0.001297672,7.16636E-08,0,0
BTG3,0.003314123,1.0194E-06,0,0
BTG4,0.003954467,1.17466E-06,0,0
BTK,0.001231986,1.61822E-07,0,0
BTLA,0.000894629,3.84109E-08,0,0
BTN1A1,0.008692061,3.27438E-06,0,0
BTN2A1,0.012119928,2.74037E-06,0,0
BTN2A2,0.011691975,3.93169E-06,0,0
BTN3A1,0.008211076,2.25897E-06,0,0
BTN3A2,0.00496811,7.48916E-07,0,0
BTN3A3,0.014139451,4.68688E-06,0,0
BTNL2,0.005979234,1.669E-06,0,0
BTNL3,0.007577895,2.54944E-06,0,0
BTNL8,0.012590886,3.7877E-06,0,0
BTNL9,0.013363201,5.07964E-06,0,0
BTRC,0.004540233,6.79047E-07,0,0
BUB1,0.00964705,1.57008E-06,0,0
BUB1B,0.012007733,3.45035E-06,0.000552037,1.26938E-07
BUB3,0.00109201,3.4542E-08,0.000124163,1.54165E-08
BUD13,0.009579308,2.10097E-06,0,0
BUD31,0.000670363,3.46655E-08,0,0
BVES,0.003737597,7.84624E-07,0,0
BYSL,0.006541669,1.49236E-06,0,0
BZRAP1,0.037367294,1.38194E-05,0,0
BZW1,0.002026832,6.81242E-07,0,0
BZW2,0.003309616,8.74384E-07,0,0
C10orf10,0.004117656,8.80546E-07,0,0
C10orf107,0.00285643,4.24804E-07,0,0
C10orf11,0.002061272,2.14196E-07,0.000057783,1.97723E-09
C10orf111,0.001650176,1.46548E-07,0,0
C10orf113,0.004375607,1.61916E-06,0,0
C10orf118,0.007067491,1.15413E-06,0,0
C10orf12,0.014537695,3.97004E-06,0,0
C10orf120,0.006162867,1.24224E-06,0,0
C10orf128,0.005705486,1.41683E-06,0,0
C10orf129,0.006856055,2.06243E-06,0,0
C10orf137,0,0,0,0
C10orf2,0.005745189,1.13198E-06,0.000313018,3.78563E-08
C10orf25,0.002488528,7.47519E-07,0,0
C10orf32,0.000816184,3.5385E-08,0,0
C10orf35,0.002114325,7.26706E-07,0,0
C10orf53,0.002762332,4.58961E-07,0,0
C10orf54,0.00513178,1.43068E-06,0,0
C10orf55,0.00360124,1.00665E-06,0,0
C10orf62,0.005893599,2.1982E-06,0,0
C10orf67,0.004938109,1.45571E-06,0,0
C10orf76,0.004841167,7.10035E-07,0,0
C10orf82,0.004168448,1.18902E-06,0,0
C10orf88,0.007919181,2.87051E-06,0,0
C10orf90,0.014979071,4.7632E-06,0,0
C10orf91,0.002196188,2.05655E-07,0,0
C10orf99,0.001171756,1.81057E-07,0,0
C11orf1,0.003227985,5.44298E-07,0,0
C11orf16,0.008882131,3.07107E-06,0,0
C11orf24,0.008765858,2.33444E-06,0,0
C11orf30,0.010936186,2.67889E-06,0,0
C11orf40,0.007696032,2.5455E-06,0,0
C11orf42,0.004888408,6.94698E-07,0,0
C11orf45,0.002354597,4.23867E-07,0,0
C11orf48,0.008202942,2.39777E-06,0,0
C11orf49,0.008740794,1.66873E-06,0,0
C11orf52,0.001575856,4.7001E-07,0,0
C11orf53,0.00445946,8.73502E-07,0,0
C11orf54,0.005738422,2.26206E-06,0,0
C11orf57,0.003159913,1.1849E-06,0,0
C11orf58,0.000808443,5.42357E-08,0,0
C11orf63,0.012841007,3.49388E-06,0,0
C11orf65,0.005317149,1.45096E-06,0,0
C11orf70,0.004478871,1.43767E-06,0,0
C11orf73,0.001907283,5.21576E-07,0,0
C11orf74,0.003844314,1.36277E-06,0,0
C11orf80,0.009065953,1.79648E-06,0,0
C11orf82,0.011119232,2.75661E-06,0,0
C11orf83,0.002573091,1.70482E-06,0,0
C11orf84,0.007403877,1.9212E-06,0,0
C11orf85,0.003907239,5.27011E-07,0,0
C11orf87,0.002345438,2.75808E-07,0,0
C11orf88,0.004356423,1.35202E-06,0,0
C11orf94,0.005353574,2.05456E-06,0,0
C12orf10,0.007707208,2.96063E-06,0,0
C12orf23,0.001275472,3.77391E-07,0,0
C12orf29,0.00453801,1.96313E-06,0,0
C12orf36,0.003163193,5.43804E-07,0,0
C12orf39,0.001856007,3.28543E-07,0,0
C12orf4,0.003359153,3.32265E-07,0,0
C12orf40,0.011994152,3.77875E-06,0,0
C12orf42,0.008259338,2.32048E-06,0,0
C12orf43,0.005097918,1.01392E-06,0,0
C12orf44,0.001569418,2.50386E-07,0,0
C12orf45,0.002679259,2.53625E-07,0,0
C12orf49,0.005894264,2.93683E-06,0,0
C12orf5,0.002857003,9.50574E-07,0,0
C12orf50,0.004708763,6.40317E-07,0,0
C12orf52,0,0,0,0
C12orf54,0.002419133,2.50503E-07,0,0
C12orf56,0.011608881,3.62634E-06,0,0
C12orf57,0.003525995,8.58129E-07,0,0
C12orf60,0.003837862,8.55073E-07,0,0
C12orf65,0.001489298,8.26245E-08,0.000658847,2.37944E-07
C12orf66,0.002898664,3.19525E-07,0,0
C12orf68,0.003286175,7.64481E-07,0,0
C12orf71,0.002931728,3.6154E-07,0,0
C12orf74,0.00411807,1.48108E-06,0,0
C12orf76,0.004386935,1.26906E-06,0,0
C12orf77,0.002123064,2.89515E-07,0,0
C13orf35,0.001176949,6.08514E-08,0,0
C14orf1,0.001317886,2.19536E-07,0,0
C14orf105,0.010630072,4.58329E-06,0,0
C14orf119,0.001442129,9.02266E-08,0,0
C14orf142,0.00157878,2.77212E-07,0,0
C14orf159,0.019336835,6.83284E-06,0,0
C14orf166,0.0031568,8.97154E-07,0,0
C14orf166B,0.014019244,3.82876E-06,0,0
C14orf177,0.001554393,1.12106E-07,0,0
C14orf178,0.001857626,2.66646E-07,0,0
C14orf180,0.009013591,3.10862E-06,0,0
C14orf182,0.001363553,1.45171E-07,0,0
C14orf183,0.008644739,3.4962E-06,0,0
C14orf2,0.002383039,7.43566E-07,0,0
C14orf28,0.006241939,2.45497E-06,0,0
C14orf37,0.013128106,3.37516E-06,0,0
C14orf39,0.007206888,1.84123E-06,0,0
C14orf79,0.007659224,2.67542E-06,0,0
C14orf93,0.006774234,1.52124E-06,0,0
C15orf26,0.002450325,1.3613E-07,0,0
C15orf27,0.008077039,1.2369E-06,0,0
C15orf32,0.004350859,1.96879E-06,0,0
C15orf37,0.009175744,4.24089E-06,0,0
C15orf38,0.006053025,1.19333E-06,0,0
C15orf38-AP3S2,0.007605848,1.28896E-06,0,0
C15orf39,0.018554589,4.84526E-06,0,0
C15orf40,0.00528764,1.76458E-06,0,0
C15orf41,0.00434914,9.83505E-07,0,0
C15orf43,0.003043029,7.5746E-07,0,0
C15orf48,0.002037428,3.01282E-07,0,0
C15orf52,0.014178618,3.95754E-06,0,0
C15orf53,0.003887936,1.59216E-06,0,0
C15orf54,0.003554475,1.21298E-06,0,0
C15orf57,0.001912293,3.82044E-07,0,0
C15orf59,0.004157159,9.437E-07,0,0
C15orf60,0.004856294,1.17976E-06,0,0
C16orf13,0.006298016,1.691E-06,0,0
C16orf3,0.011614585,4.34417E-06,0,0
C16orf45,0.003926885,7.80584E-07,0,0
C16orf46,0.009708375,3.80674E-06,0,0
C16orf58,0.009707208,2.13072E-06,0,0
C16orf59,0.008522541,2.15777E-06,0,0
C16orf62,0.02000904,4.36349E-06,0,0
C16orf70,0.00290385,5.84393E-07,0,0
C16orf71,0.011936645,3.06876E-06,0,0
C16orf72,0.001440336,7.42107E-08,0,0
C16orf78,0.00466071,9.46716E-07,0,0
C16orf80,0.000537008,1.04185E-08,0,0
C16orf87,0.001742787,9.68277E-07,0,0
C16orf89,0.012107626,3.31198E-06,0,0
C16orf91,0.007561708,1.64649E-06,0,0
C16orf92,0.002204481,4.88479E-07,0,0
C16orf93,0.009469385,2.97711E-06,0,0
C17orf102,0.003799968,1.5534E-06,0,0
C17orf47,0.005265673,6.70342E-07,0,0
C17orf49,0.001515725,2.8468E-07,0,0
C17orf53,0.011180148,3.45286E-06,0,0
C17orf58,0.001065174,2.75434E-08,0,0
C17orf62,0.011304293,3.71307E-06,0,0
C17orf66,0.010614886,2.94974E-06,0,0
C17orf67,0.002934254,7.40569E-07,0,0
C17orf70,0.017858363,5.72496E-06,0,0
C17orf74,0.01338436,4.13177E-06,0,0
C17orf75,0.004310465,1.28585E-06,0,0
C17orf77,0.007477668,3.10878E-06,0,0
C17orf78,0.003145888,7.61747E-07,0,0
C17orf80,0.011545692,2.67368E-06,0,0
C17orf85,0.008771511,3.46273E-06,0,0
C17orf97,0.028664347,1.26995E-05,0,0
C17orf98,0.001815604,2.93583E-07,0,0
C18orf21,0.002034222,2.03175E-07,0,0
C18orf25,0.002717575,1.69136E-07,0,0
C18orf32,0.001452896,5.36475E-07,0,0
C18orf54,0.009172493,2.34665E-06,0,0
C18orf8,0.006888591,1.71658E-06,0,0
C19orf10,0.002878069,2.76277E-07,0,0
C19orf12,0.002494912,1.10226E-06,0.000397,2.62227E-08
C19orf18,0.003775051,1.42535E-06,0,0
C19orf26,0.017143497,5.45067E-06,0,0
C19orf33,0.002919039,2.79378E-07,0,0
C19orf40,0.002785159,6.8849E-07,0,0
C19orf43,0.002138847,7.31951E-07,0,0
C19orf44,0.012530553,2.62851E-06,0,0
C19orf45,0.010867286,3.24658E-06,0,0
C19orf47,0.006275844,1.58684E-06,0,0
C19orf48,0.002375327,1.05459E-06,0,0
C19orf53,0.002712792,2.73597E-07,0,0
C19orf54,0.01392887,4.86608E-06,0,0
C19orf55,0.010651811,2.74332E-06,0,0
C19orf57,0.012551549,3.20604E-06,0,0
C19orf59,0.003847244,1.52229E-06,0,0
C19orf66,0.004685801,7.87795E-07,0,0
C19orf70,0.002106008,4.85626E-07,0,0
C19orf73,0.003540733,8.32431E-07,0,0
C1D,0.003927497,1.05828E-06,0,0
C1GALT1,0.002826787,4.30407E-07,0,0
C1GALT1C1,0.002239083,3.46528E-07,0,0
C1orf100,0.003715547,9.26496E-07,0,0
C1orf101,0.014027402,4.64445E-06,0,0
C1orf105,0.004003448,1.23891E-06,0,0
C1orf106,0.014065567,4.96184E-06,0,0
C1orf109,0.003065175,9.08902E-07,0,0
C1orf110,0.004144266,5.1898E-07,0,0
C1orf111,0.006081915,2.04039E-06,0,0
C1orf112,0.009023502,1.57831E-06,0,0
C1orf115,0.004216891,1.55526E-06,0,0
C1orf116,0.007302454,8.67908E-07,0,0
C1orf122,0.003368129,1.09584E-06,0,0
C1orf123,0.001982009,2.89066E-07,0,0
C1orf127,0.016209162,4.55665E-06,0,0
C1orf131,0.004371882,1.04213E-06,0,0
C1orf141,0.006316091,1.42014E-06,0,0
C1orf146,0.002155503,5.43427E-07,0,0
C1orf158,0.003386981,5.12633E-07,0,0
C1orf162,0.001436533,2.75346E-07,0,0
C1orf168,0.011130709,3.18414E-06,0,0
C1orf172,0.005195677,1.12139E-06,0,0
C1orf173,0.025546972,6.78408E-06,0,0
C1orf174,0.006957452,3.10274E-06,0,0
C1orf177,0.009189605,2.07768E-06,0,0
C1orf186,0.002926639,1.15306E-06,0,0
C1orf189,0.001271094,1.1057E-07,0,0
C1orf192,0.003027614,1.61762E-06,0,0
C1orf194,0.003589852,9.35855E-07,0,0
C1orf198,0.007233373,2.35137E-06,0,0
C1orf200,0.001402316,8.13168E-08,0,0
C1orf21,0.000693908,4.70364E-08,0,0
C1orf210,0.00171644,3.56575E-07,0,0
C1orf213,0.004064327,1.57375E-06,0,0
C1orf216,0.002934148,4.78796E-07,0,0
C1ORF220,0.004050936,8.70036E-07,0,0
C1orf227,0.000619049,4.51965E-08,0,0
C1orf27,0.005641067,1.70773E-06,0,0
C1orf35,0.003878507,6.3931E-07,0,0
C1orf43,0.002051897,1.66401E-07,0,0
C1orf50,0.006982322,1.50684E-06,0,0
C1orf51,0.004169887,8.01165E-07,0,0
C1orf52,0.002324465,5.39669E-07,0,0
C1orf53,0.00360995,8.98422E-07,0,0
C1orf54,0.001263228,3.90094E-08,0,0
C1orf56,0.003848732,1.01474E-06,0,0
C1orf61,0.004072931,6.66101E-07,0,0
C1orf63,0.005314997,1.2737E-06,0,0
C1orf64,0.003020219,4.16144E-07,0,0
C1orf65,0.012605746,2.73853E-06,0,0
C1orf74,0.00195031,1.79516E-07,0,0
C1orf85,0.007709548,2.57526E-06,0,0
C1orf86,0.013849881,5.1166E-06,0,0
C1orf87,0.009878973,2.98071E-06,0,0
C1orf94,0.01051119,3.51981E-06,0,0
C1orf95,0.001999754,6.52608E-07,0,0
C1QA,0.003801326,1.09187E-06,0.000067287,3.42862E-09
C1QB,0.002810878,5.42386E-07,0.000083641,1.81576E-09
C1QBP,0.003661142,1.05366E-06,0,0
C1QC,0.003714437,1.44021E-06,0.000327325,8.64366E-08
C1QL1,0.003101369,8.32072E-07,0,0
C1QL2,0.003849695,1.32219E-06,0,0
C1QL3,0.002171772,7.23548E-07,0,0
C1QTNF1,0.003930108,5.83252E-07,0,0
C1QTNF2,0.0064305,1.12066E-06,0,0
C1QTNF3,0.003379616,1.38111E-06,0,0
C1QTNF6,0.005500438,1.3485E-06,0,0
C1QTNF7,0.003999986,1.00758E-06,0,0
C1QTNF8,0.010097646,2.93803E-06,0,0
C1QTNF9,0.006033468,1.20784E-06,0,0
C1QTNF9B,0.010940508,4.00636E-06,0,0
C1RL,0.010501767,3.16554E-06,0,0
C1S,0.00823395,1.95091E-06,0.000132192,1.74747E-08
C2,0.012099073,3.15942E-06,0.000018123,1.65532E-10
C20orf112,0.009178042,2.84953E-06,0,0
C20orf141,0.004792958,2.40413E-06,0,0
C20orf166,0.002205673,2.05638E-07,0,0
C20orf194,0.013688981,4.44078E-06,0,0
C20orf195,0.006587664,2.04501E-06,0,0
C20orf196,0.002369193,3.17479E-07,0,0
C20orf197,0.002420565,5.23445E-07,0,0
C20orf24,0.002186381,2.54223E-07,0,0
C20orf26,0.021324385,5.08183E-06,0,0
C20orf27,0.003614262,6.20526E-07,0,0
C20orf85,0.004067173,8.18386E-07,0,0
C20orf96,0.006829365,1.42577E-06,0,0
C21orf128,0.003976986,1.1486E-06,0,0
C21orf33,0.009375966,2.56993E-06,0,0
C21orf58,0.011497557,3.96281E-06,0,0
C21orf59,0.004509231,5.88706E-07,0.000115949,7.28559E-09
C21orf62,0.003792911,5.66539E-07,0,0
C21orf91,0.003493881,8.41185E-07,0,0
C22orf23,0.005342268,2.07998E-06,0,0
C22orf24,0.003346636,5.98615E-07,0,0
C22orf29,0.007218455,2.95375E-06,0,0
C22orf31,0.004152803,6.88374E-07,0,0
C22orf42,0.005684452,1.43077E-06,0,0
C22orf43,0.004982085,1.72921E-06,0,0
C2CD2,0.008016782,1.62181E-06,0,0
C2CD2L,0.008180772,1.65233E-06,0,0
C2CD3,0.033207783,9.84683E-06,0.000256584,6.58353E-08
C2CD5,0.009482637,2.27559E-06,0,0
C2ORF15,0.003528698,9.14846E-07,0,0
C2orf16,0.025291182,4.65289E-06,0,0
C2orf27A,0.000032997,1.0888E-09,0,0
C2orf27B,0.000487116,7.70925E-08,0,0
C2orf40,0.003100809,5.75085E-07,0,0
C2orf42,0.008081009,3.15498E-06,0,0
C2orf43,0.005613641,1.26995E-06,0,0
C2orf44,0.008809264,1.95813E-06,0,0
C2orf47,0.002873412,4.1873E-07,0,0
C2orf48,0.0026683,4.84184E-07,0,0
C2orf49,0.004072295,8.66103E-07,0,0
C2orf50,0.003401102,8.15022E-07,0,0
C2orf53,0.007680578,1.83423E-06,0,0
C2orf54,0.009827431,2.07963E-06,0,0
C2orf57,0.006126241,9.38235E-07,0,0
C2orf61,0.007261656,3.39445E-06,0,0
C2orf62,0.006138236,2.02266E-06,0,0
C2orf66,0.001091219,1.89833E-07,0,0
C2orf68,0.003144238,9.56567E-07,0,0
C2orf69,0.006003012,1.86925E-06,0,0
C2orf70,0.007536097,2.57205E-06,0,0
C2orf71,0.025257277,6.76654E-06,0.000490385,1.4258E-07
C2orf73,0.007410098,1.92665E-06,0,0
C2orf76,0.001061667,6.5472E-08,0,0
C2orf78,0.011588227,3.66334E-06,0,0
C2orf80,0.005133009,9.86365E-07,0,0
C2orf83,0.002518074,5.6996E-07,0,0
C2orf88,0.002247787,5.73487E-07,0,0
C3,0.01340333,2.28462E-06,0.000284453,1.48171E-08
C3AR1,0.005630306,7.50786E-07,0,0
C3orf14,0.001202428,1.39601E-07,0,0
C3orf17,0.006731287,1.39039E-06,0,0
C3orf18,0.003409866,8.41347E-07,0,0
C3orf20,0.016014311,4.24605E-06,0,0
C3orf22,0.001405958,8.39308E-08,0,0
C3orf27,0.002904537,7.00983E-07,0,0
C3orf30,0.013157154,5.28109E-06,0,0
C3orf33,0.00731598,1.93989E-06,0,0
C3orf35,0.006775277,2.77729E-06,0,0
C3orf36,0.00384526,1.14892E-06,0,0
C3orf38,0.004159421,1.10522E-06,0,0
C3orf52,0.00542299,1.09811E-06,0,0
C3orf56,0.007113213,2.26156E-06,0,0
C3orf58,0.00544747,1.95689E-06,0,0
C3orf62,0.002875087,3.01317E-07,0,0
C3orf65,0.004128761,1.56203E-06,0,0
C3orf67,0.011589635,2.97791E-06,0,0
C3orf70,0.004054596,9.17467E-07,0,0
C3orf72,0.002807649,8.03684E-07,0,0
C3orf79,0.000564849,1.89784E-08,0,0
C3orf84,0.004081961,1.37257E-06,0,0
C4BPA,0.005835914,1.51301E-06,0,0
C4BPB,0.006435415,2.5296E-06,0,0
C4orf17,0.00576825,1.83419E-06,0,0
C4orf19,0.007697921,3.78936E-06,0,0
C4orf21,0.030843996,7.82887E-06,0,0
C4orf22,0.005483313,1.92328E-06,0,0
C4orf26,0.003581092,4.83838E-07,0.000016485,2.71755E-10
C4orf27,0.005766241,1.5503E-06,0,0
C4orf29,0.005620719,1.30558E-06,0,0
C4orf3,0.004017386,1.48521E-06,0,0
C4orf32,0.002353621,8.84868E-07,0,0
C4orf33,0.003281286,1.19633E-06,0,0
C4orf36,0.002327866,6.14505E-07,0,0
C4orf40,0.006765816,2.53817E-06,0,0
C4orf45,0.003175934,6.10594E-07,0,0
C4orf46,0.001007887,6.61031E-08,0,0
C4orf50,0.017084178,6.54791E-06,0,0
C4orf51,0.005010505,2.28294E-06,0,0
C4orf6,0.002950855,9.69733E-07,0,0
C5,0.017393677,4.10359E-06,0.000983639,6.4767E-07
C5AR1,0.006718713,1.87437E-06,0,0
C5AR2,0.009271459,4.18824E-06,0.000126057,1.22655E-08
C5orf15,0.004884628,1.50725E-06,0,0
C5orf20,0.006065519,2.57348E-06,0,0
C5orf22,0.005680613,1.63087E-06,0,0
C5orf24,0.001462745,7.10473E-07,0,0
C5orf28,0.00225354,2.16366E-07,0,0
C5orf30,0.002876581,1.21267E-06,0,0
C5orf34,0.009502759,3.11903E-06,0,0
C5orf38,0.007356851,3.09025E-06,0,0
C5orf42,0.034779135,7.58953E-06,0.00037654,3.13105E-08
C5orf45,0.015999859,5.39515E-06,0,0
C5orf46,0.000881271,5.59451E-08,0,0
C5orf48,0.001602579,2.40801E-07,0,0
C5orf49,0.00450896,1.27143E-06,0,0
C5orf51,0.002282891,2.13401E-07,0,0
C5orf54,0.00817076,1.64429E-06,0,0
C5orf55,0.001172168,1.21516E-07,0,0
C5orf56,0.002476841,7.0047E-07,0,0
C5orf58,0.000848654,6.52188E-08,0,0
C5orf64,0.003218043,1.03055E-06,0,0
C6,0.016204079,4.93688E-06,0.002170952,1.65313E-06
C6orf1,0.003934397,1.12474E-06,0,0
C6orf10,0.007009304,1.72099E-06,0,0
C6orf106,0.001992227,3.35907E-07,0,0
C6orf118,0.01126108,3.07781E-06,0,0
C6orf120,0.006324421,2.58472E-06,0,0
C6orf136,0.006776121,3.12116E-06,0,0
C6orf15,0.004457202,7.35334E-07,0,0
C6ORF165,0.012529212,4.96279E-06,0,0
C6orf195,0.00171443,1.74729E-07,0,0
C6orf201,0.004013049,9.62504E-07,0,0
C6orf203,0.003371821,5.38281E-07,0,0
C6orf211,0.005717103,1.98457E-06,0,0
C6orf222,0.01375986,3.20828E-06,0,0
C6orf223,0.007225108,1.82532E-06,0,0
C6orf226,0.003904455,1.81626E-06,0,0
C6orf25,0.006270721,1.67141E-06,0,0
C6orf47,0.004363842,1.39463E-06,0,0
C6orf48,0.001095911,7.6745E-08,0,0
C6orf57,0.0023872,5.2826E-07,0,0
C6orf58,0.004759452,1.07382E-06,0,0
C6orf62,0.001246731,1.22285E-07,0,0
C6orf89,0.003606322,4.33218E-07,0,0
C7,0.016096498,4.96519E-06,0.001545832,4.225E-07
C7orf10,0,0,0,0
C7orf25,0.003981491,7.7634E-07,0,0
C7orf26,0.007980944,2.63904E-06,0,0
C7orf31,0.012954921,3.92739E-06,0,0
C7orf33,0.003224292,8.33772E-07,0,0
C7orf34,0.007740084,3.37884E-06,0,0
C7orf41,0,0,0,0
C7orf43,0.006421155,1.71573E-06,0,0
C7orf49,0.003243638,6.31535E-07,0,0
C7orf50,0.006580147,2.14917E-06,0,0
C7orf55,0.001401094,3.14621E-07,0,0
C7orf55-LUC7L2,0.001880053,7.64288E-08,0,0
C7orf57,0.005475599,1.47841E-06,0,0
C7orf60,0.001799453,2.37466E-07,0,0
C7orf61,0.004122451,6.71465E-07,0,0
C7orf62,0.005028384,1.93147E-06,0,0
C7orf63,0.012430482,2.87115E-06,0,0
C7orf65,0.003358776,1.28802E-06,0,0
C7orf66,0.002876013,1.28083E-06,0,0
C7orf69,0.001657444,4.17486E-07,0,0
C8A,0.009001741,1.87649E-06,0.000082524,4.62084E-09
C8B,0.011488579,3.30215E-06,0.000205989,1.64928E-08
C8orf22,0.001604914,3.62618E-07,0,0
C8orf31,0.001968809,4.35614E-07,0,0
C8orf33,0.00424723,1.5397E-06,0,0
C8orf34,0.007006183,1.92274E-06,0,0
C8orf37,0.003871788,1.40751E-06,0.000016509,2.72547E-10
C8orf4,0.001127987,6.35737E-08,0,0
C8orf44,0.002414052,3.79575E-07,0,0
C8orf44-SGK3,0.003364432,9.85674E-07,0,0
C8orf46,0.004092656,1.66516E-06,0,0
C8orf47,0.00571527,1.47298E-06,0,0
C8orf58,0.009152028,2.18407E-06,0,0
C8orf59,0.002033386,3.70292E-07,0,0
C8orf74,0.008301587,1.67946E-06,0,0
C8orf76,0.004768331,1.20606E-06,0,0
C8orf86,0.002963129,4.75527E-07,0,0
C9,0.011603332,3.31923E-06,0.002212454,1.77425E-06
C9orf114,0.005475999,9.34133E-07,0,0
C9orf116,0.002722071,5.91652E-07,0,0
C9orf117,0.011538945,3.74688E-06,0,0
C9orf129,0.004319883,1.03739E-06,0,0
C9orf131,0.015284055,3.6856E-06,0,0
C9orf135,0.005146731,1.64958E-06,0,0
C9orf139,0.004941797,1.18563E-06,0,0
C9orf142,0.003024841,9.29311E-07,0,0
C9orf152,0.004097855,8.51767E-07,0,0
C9orf153,0.001911477,8.69238E-07,0,0
C9orf156,0.007574057,1.88305E-06,0,0
C9orf163,0.002423311,3.16148E-07,0,0
C9orf170,0.00200332,2.64671E-07,0,0
C9orf171,0.00821392,1.7718E-06,0,0
C9orf173,0.011294031,2.75203E-06,0,0
C9orf24,0.005482116,1.15181E-06,0,0
C9orf3,0.011860237,2.22776E-06,0,0
C9orf37,0.00246367,4.12784E-07,0,0
C9orf40,0.001401586,8.71665E-08,0,0
C9orf41,0.002165112,1.79995E-07,0,0
